E1,px1,py1,pz1,E2,px2,py2,pz2,M,Class
53.0486,14.5482,-50.9666,2.2154,40.0215,-9.3432,38.8712,-1.8583,92.1332,1
60.7409,-46.17,-38.6015,-8.2288,62.1492,-50.2471,-21.334,29.7089,41.8578,1
76.1962,-4.0394,54.1195,-53.4848,75.6645,16.6884,-32.0614,-66.4732,89.5835,1
45.8168,-9.3354,44.5138,-5.5271,83.3398,17.748,-11.5353,-80.6068,90.0222,1
84.8239,35.6464,29.409000000000002,-71.1305,32.3405,-24.8495,-8.8243,-18.7228,71.5094,1
110.4878,-7.5304,-85.3183,69.7971,43.9321,-24.8927,-25.8534,-25.3375,91.9698,1
111.5705,-5.5588,51.1684,-98.9892,72.4556,-2.0398,-39.7307,-60.5568,90.6759,1
167.2059,60.3804,3.3680000000000003,155.8868,58.758,-47.6163,-17.1242,29.8656,127.2934,1
36.3197,-11.5032,34.0479,5.2477,72.6043,11.5605,-29.9433,-65.124,90.8978,1
158.2261,-15.6352,48.7937,149.7004,190.2033,11.7031,-34.8077,186.6246,89.8746,1
99.0669,12.4873,-38.9299,-90.2373,180.7182,8.6075,35.4836,-176.9912,80.0732,1
48.3926,46.9863,-3.0613,-11.1694,55.3162,-34.9272,-8.8717,-41.9674,87.4309,1
58.3703,-31.6576,-14.9304,-46.7115,36.4098,28.7951,3.7625,21.9626,90.7625,1
50.7681,28.5911,41.4644,-6.3764,43.475,-21.680999999999997,-36.7386,8.3836,93.8491,1
87.8068,31.4243,32.4443,75.2989,45.4825,-19.2807,-39.5631,11.4749,100.1909,1
71.0181,43.8906,-1.9961,-55.7961,49.7389,-39.1539,1.8595,-30.6182,84.2163,1
94.3404,-39.313,-3.8353,85.6732,40.3386,38.0838,0.5711,13.2855,91.2878,1
52.1578,18.656,44.2423,20.3717,41.1774,-17.2735,-27.9553,-24.8134,91.7853,1
83.9212,38.9923,20.3315,-71.4773,162.6386,-32.0935,-22.0357,-157.9106,90.1247,1
200.2446,-40.2052,8.8582,-195.9668,145.3896,39.8684,-9.9724,-139.4604,83.3683,1
175.3178,4.8439,-31.8929,172.3244,37.6786,-9.5849,30.5738,19.8255,91.7695,1
48.5826,-24.3827,-40.4426,11.4085,50.9384,23.2818,30.8512,33.1796,88.4485,1
34.0612,5.4491,30.4486,14.2601,70.8782,-11.1518,-26.7793,-64.6701,91.7884,1
125.1153,36.8346,59.533,-103.6961,68.5525,-18.0228,-41.611999999999995,-51.4108,113.0224,1
60.464,14.748,48.336000000000006,33.1966,55.9482,10.6751,-37.568000000000005,-40.061,112.8821,1
42.475,-30.0936,-29.4929,5.3547,37.3536,29.5142,19.9662,11.2051,77.5067,1
136.8919,-47.827,-6.5207,128.0994,149.3135,36.7982,-9.0915,144.4222,85.3239,1
133.6245,26.8215,36.8087,125.6233,103.4691,-28.5337,-34.827,93.1599,91.3258,1
45.1391,-10.0127,-41.5609,-14.4903,100.3648,22.291999999999998,24.6703,-94.6971,93.8798,1
50.5738,48.8556,-8.3021,-10.0953,48.9753,-42.2764,-9.9344,-22.6406,91.992,1
52.6968,46.4368,24.9108,-0.1724,41.9827,-36.7507,-19.5062,5.607,93.8703,1
53.5028,6.5248,-45.4567,27.4529,44.6141,1.0222,44.4483,3.7039999999999997,92.7264,1
38.3291,-6.2064,-37.7888,-1.6144,59.5945,5.1994,34.3564,48.416000000000004,85.9409,1
54.9222,-33.9484,-29.8366,31.2046,51.0687,27.1358,26.7392,34.01,83.2173,1
69.6251,31.9696,46.2813,-41.0323,37.7927,-18.3096,-30.3445,-13.1245,90.3607,1
