E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Class
38.5259,-38.4827,1.1878,-1.385,38.501,-0.036000000000000004,3.1107,65.2956,34.4713,-1.581,-55.4324,34.5075,-1.2524,3.1107,86.8012,1
95.4283,48.591,-3.948,-82.0359,48.7511,-1.2919999999999998,-0.0811,62.3948,-35.74,-32.5317,-39.4646,48.3286,-0.7456,-0.0811,93.0045,1
83.4953,45.0669,-43.6177,55.1174,62.7179,0.7929999999999999,-0.7691,72.6743,-30.8065,-8.9218,65.2144,32.0724,1.4585,-0.7691,83.3393,1
298.435,-38.0649,46.968999999999994,-292.2472,60.4568,-2.2793,2.2519,154.6958,40.9773,-10.2765,-148.8155,42.2463,-1.9719,2.2519,97.1413,1
87.3933,22.2917,-34.536,77.1228,41.1054,1.3869,-0.9976,181.5842,-24.6464,32.8849,176.8727,41.0957,2.1659,-0.9976,88.4696,1
222.5569,-51.8865,-10.1928,216.1839,52.8782,2.1159,-2.9476,159.8504,41.8119,17.0828,153.3365,45.1669,1.9364,-2.9476,97.6782,1
147.76,56.0261,102.0471,90.9972,116.4153,0.7183,1.0687,90.8297,27.4271,-0.7147,86.5868,27.4365,1.8666,1.0687,90.3121,1
111.4353,-40.2801,23.2048,101.2762,46.486000000000004,1.5208,2.6189,91.7595,30.0593,-34.8729,79.3733,46.04,1.3129,2.6189,91.7237,1
268.7853,13.344000000000001,-56.5526,-262.4296,58.1056,-2.2129,-1.3391,133.937,-19.1618,33.3628,-128.2922,38.474000000000004,-1.9192,-1.3391,94.6055,1
50.1804,23.6315,38.6392,-21.6018,45.2928,-0.4605,1.0219,63.3584,-18.9868,-24.464000000000002,-55.2747,30.9675,-1.3431,1.0219,82.2104,1
112.6722,42.2375,51.3786,-90.9464,66.5114,-1.1189,0.8827,66.7556,-43.53,33.4183,-38.0088,54.8785,-0.6466,0.8827,91.5024,1
80.4025,36.7244,3.7238,71.4284,36.9127,1.4142,0.1011,32.8951,-30.4081,-12.5288,0.6851,32.888000000000005,0.0208,0.1011,86.7097,1
105.2307,38.6866,13.2256,-96.9636,40.8848,-1.5985,0.3294,46.3866,-36.0097,-15.2382,-24.9564,39.1011,-0.6013,0.3294,90.0673,1
69.928,-29.3304,37.14,51.4808,47.325,0.9421,2.2392,53.0052,27.3605,-37.1663,26.0695,46.1512,0.5385,2.2392,95.3658,1
119.0756,-44.193000000000005,-13.4938,109.7446,46.2072,1.5998,-2.8452,62.1596,38.3457,17.0703,45.8478,41.9736,0.9452,-2.8452,92.6832,1
51.0239,-28.0928,8.2899,41.7793,29.2904,1.1532,2.8546,52.0386,-22.6535,17.4888,-43.4624,28.6189,-1.2051,2.8546,85.90299999999999,1
124.102,-26.3882,29.5684,-117.6039,39.6311,-1.8081,2.2994,37.2752,14.44,-31.3612,-14.0502,34.5259,-0.3965,2.2994,92.541,1
