E1,pt1,eta1,phi1,E2,pt2,eta2,phi2,Rapidity,Pt,Class
57.4786,49.8159,-0.5478,2.3243,65.2037,43.5497,-0.9599,2.3243,-0.7402,9.0056,1
51.2079,40.56,0.7096,-0.7795,42.3067,33.0499,-0.732,-0.7795,0.0519,9.2872,1
34.3408,34.0818,0.1232,1.5984,101.2367,30.4865,1.8698,1.5984,0.9574,13.6662,1
210.5366,46.233,-2.1968,0.2266,148.3936,45.1596,-1.8588,0.2266,-2.0298,4.5703,1
41.078,35.5256,-0.5521,2.7097,69.9559,31.3411,1.4416,2.7097,0.3972,5.5787,1
132.2915,59.9299,-1.4292,-3.0067,81.4716,34.4324,-1.5064,-3.0067,-1.4574,26.4671,1
40.6824,40.6377,0.0469,0.5061,49.3675,39.7211,0.6835,0.5061,0.3617,23.4,1
70.4941,35.6923,1.3024,0.1343,25.2563,25.1493,0.0922,0.1343,0.7913,25.3274,1
65.1001,32.5201,1.318,-0.4434,33.1941,27.283,-0.6469,-0.4434,0.4017,12.4477,1
66.7224,54.4816,0.6584,1.5094,37.5928,37.4763,-0.0788,1.5094,0.3551,36.4537,1
51.3931,51.1881,0.0895,2.8745,61.1179,38.2965,1.0437,2.8745,0.5025,31.6989,1
86.6655,33.1831,-1.6143,-1.6053,28.0589,27.3961,0.2195,-1.6053,-0.7667,6.0839,1
52.3824,44.2595,0.5969,-1.6014,43.5518,43.5131,0.0422,-1.6014,0.3219,20.9447,1
214.3574,41.3746,-2.3287,-1.255,40.3929,30.0501,-0.8076,-1.255,-1.6702,19.1312,1
93.2392,82.7166,-0.4992,-0.5089,37.5743,29.7746,-0.7089,-0.5089,-0.5548,62.0702,1
79.8059,70.4549,0.5097,1.0562,32.8682,31.6818,0.2728,1.0562,0.436,47.6601,1
71.4521,51.2254,0.8617,-1.2647,40.0262,38.6256,0.2685,-1.2647,0.6056,16.3787,1
36.9267,33.5593,-0.4443,-1.5422,63.1158,29.0864,1.4099,-1.5422,0.4307,4.7616,1
